"domain","site_name","platform","site_type","production_state","homepage_status","canonical_root","robots_status","sitemap_status","sitemap_page_count","favicon_status","indexable_review_pages","deep_pages_reviewed","audit_result","gsc_inventory","notes"
"boonbuyfind.net","BoonBuy Product Finder","boonbuyfind","shared_tenant","live","200","https://boonbuyfind.net/en","200","200","6","200","6","4","pass","known_property",""
"boonbuyindex.com","BoonBuy Spreadsheet & Product Index","boonbuyindex","shared_tenant","live","200","https://boonbuyindex.com/en","200","200","7","200","7","4","pass","known_property",""
"cnshopperindex.com","CNShopper Product Index","cnshopperindex","shared_tenant","live","200","https://cnshopperindex.com/en","200","200","7","200","7","4","pass","known_property",""
"cssbuycatalog.com","CSSBuy Catalog","cssbuycatalog","shared_tenant","live","200","https://cssbuycatalog.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"cssbuyindex.com","CSSBuy Guide","cssbuyindex","shared_tenant","live","200","https://cssbuyindex.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"cssbuyitems.com","CSSBuy Items","cssbuyitems","shared_tenant","live","200","https://cssbuyitems.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"dgobuyindex.com","DgoBuy Guide","dgobuyindex","shared_tenant","live","200","https://dgobuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"eastmallbuyindex.com","EastMallBuy Guide","eastmallbuyindex","shared_tenant","live","200","https://eastmallbuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
"fishgooindex.com","Fishgoo Product Index","fishgooindex","shared_tenant","live","200","https://fishgooindex.com/en","200","200","8","200","8","4","pass","known_property",""
"goatedbuyindex.com","GoatedBuy Product Index","GoatedBuy","shared_tenant","live","200","https://goatedbuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
"gtbuyindex.com","GTBuy Product Index","gtbuyindex","shared_tenant","live","200","https://gtbuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
"hipobuyindex.com","HipoBuy Product Index","hipobuyindex","shared_tenant","live","200","https://hipobuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
"hoobuyindex.net","HooBuy Guide","hoobuyindex","shared_tenant","live","200","https://hoobuyindex.net/en","200","200","8","200","8","4","pass","known_property",""
"hubbuyindex.com","HubBuy Product Index","hubbuyindex","shared_tenant","live","200","https://hubbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"indexfinds.com","IndexFinds","IndexFinds","main_platform","live","200","https://indexfinds.com/en","200","200","4712","200","","","url_audit_closed","known_property","independent main-platform scope; 4,648-URL source audit completed and all 15 recorded failures resolved; current sitemap has 4,712 URLs and zero placeholder-brand entries"
"itaobuyindex.com","iTaoBuy Guide","itaobuyindex","shared_tenant","live","200","https://itaobuyindex.com/en","200","200","7","200","7","4","pass","known_property",""
"joyabuyfinds.com","JoyaGoo Finds","joyabuyfinds","shared_tenant","live","200","https://joyabuyfinds.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"joyagooindex.com","JoyaGoo Spreadsheet","joyagooindex","shared_tenant","live","200","https://joyagooindex.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"kakobuyindex.net","Kakobuy Spreadsheet Index","kakobuyindex","shared_tenant","live","200","https://kakobuyindex.net/en","200","200","8","200","8","4","pass","known_property",""
"kakobuyitems.com","Kakobuy Items","kakobuyitems","shared_tenant","live","200","https://kakobuyitems.com/en","200","200","8","200","8","4","pass","known_property",""
"kameymallindex.com","KameyMall Guide","kameymallindex","shared_tenant","live","200","https://kameymallindex.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"litbuyindex.com","LitBuy Guide","litbuyindex","shared_tenant","live","200","https://litbuyindex.com/en","200","200","9","200","9","4","pass","known_property",""
"litbuyitems.com","LitBuy Item Evidence","litbuyitems","shared_tenant","live","200","https://litbuyitems.com/en","200","200","8","200","8","4","pass","known_property","Invitation-code route is intentionally excluded from the indexable sitemap."
"litbuyproducts.com","LitBuy Product Catalog","litbuyproducts","shared_tenant","live","200","https://litbuyproducts.com/en","200","200","9","200","9","4","pass","known_property",""
"loongbuys.net","LoongBuy Guide","loongbuys","shared_tenant","live","200","https://loongbuys.net/en","200","200","7","200","7","4","pass","known_property","external-source auto-check warning only"
"lovegobuyindex.com","LoveGoBuy Product Directory","lovegobuyindex","shared_tenant","live","200","https://lovegobuyindex.com/en","200","200","8","200","8","4","pass","known_property","external-source auto-check warning only"
"mulebuyindex.net","MuleBuy Spreadsheet Index","mulebuyindex","shared_tenant","live","200","https://mulebuyindex.net/en","200","200","10","200","10","4","pass","known_property",""
"mulebuyitems.com","MuleBuy Item Evidence","mulebuyitems","shared_tenant","live","200","https://mulebuyitems.com/en","200","200","8","200","8","4","pass","known_property",""
"mycnboxindex.com","MyCNBox Guide","mycnboxindex","shared_tenant","live","200","https://mycnboxindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"okeyhaulindex.com","OKEYHAUL Guide","okeyhaulindex","shared_tenant","live","200","https://okeyhaulindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"oopbuyindex.net","Oopbuy Spreadsheet Guide","oopbuyindex","shared_tenant","live","200","https://oopbuyindex.net/en","200","200","8","200","8","4","pass","known_property",""
"ootdbuyindex.com","OOTDBuy Guide","ootdbuyindex","shared_tenant","live","200","https://ootdbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"orientdigindex.com","OrientDig Spreadsheet Index","OrientDig","shared_tenant","live","200","https://orientdigindex.com/en","200","200","14","200","14","4","pass","known_property",""
"ossbuyindex.com","OssBuy Agent Guide","ossbuyindex","shared_tenant","live","200","https://ossbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"pantherbuyindex.com","PantherBuy Product Search","pantherbuyindex","shared_tenant","live","200","https://pantherbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"parcelupindex.com","Parcel Up Index","parcelupindex","shared_tenant","live","200","https://parcelupindex.com/en","200","200","11","200","11","4","pass","known_property","external-source auto-check warning only"
"ponybuyindex.com","PonyBuy Shopping Agent Guide","ponybuyindex","shared_tenant","live","200","https://ponybuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"rizzitgoindex.com","RizzitGo Guide","rizzitgoindex","shared_tenant","live","200","https://rizzitgoindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"spanbuyindex.com","SpanBuy Guide","spanbuyindex","shared_tenant","live","200","https://spanbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"sugargooindex.net","Sugargoo Guide","sugargooindex","shared_tenant","live","200","https://sugargooindex.net/en","200","200","8","200","8","4","pass","known_property",""
"superbuydeals.com","Superbuy Deals Guide","superbuydeals","shared_tenant","live","200","https://superbuydeals.com/en","200","200","6","200","6","4","pass","known_property",""
"superbuyindex.com","Superbuy Spreadsheet","superbuyindex","shared_tenant","live","200","https://superbuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
"superbuyitems.com","Superbuy Items Guide","superbuyitems","shared_tenant","live","200","https://superbuyitems.com/en","200","200","8","200","8","4","pass","known_property",""
"tigbuyindex.com","TigBuy Guide","tigbuyindex","shared_tenant","live","200","https://tigbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"usfansindex.net","USFans Spreadsheet Research","usfansindex","shared_tenant","live","200","https://usfansindex.net/en","200","200","7","200","7","4","pass","known_property",""
"vigorbuyindex.com","VigorBuy Guide","vigorbuyindex","shared_tenant","live","200","https://vigorbuyindex.com/en","200","200","8","200","8","4","pass","verified_access_processing","GSC property verified and accessible in the secondary owner account; sitemap successful with 8 discovered pages; index data processing; no DNS change required"
"xiangshoe.net","Xiangshoe","Xiangshoe","independent_site","live","200","https://xiangshoe.net/","200","200","13408","200","13408","4","pass_with_search_axe_limit","known_property","independent site; 13408/13408 lightweight URL checks passed; 8 targeted desktop/mobile views passed after WhatsApp accessibility fix; search full-DOM axe and Core Web Vitals remain tool-limited"
"ydaexpress.net","YDA Express Parcel Forwarding Guide","ydaexpress","shared_tenant","live","200","https://ydaexpress.net/en","200","200","7","200","7","4","pass","known_property",""
"ydaexpress.org","YDA Express Service Review","ydaexpress","shared_tenant","live","200","https://ydaexpress.org/en","200","200","7","200","7","4","pass","known_property",""
"yoybuyindex.com","YoyBuy Spreadsheet Guide","yoybuyindex","shared_tenant","live","200","https://yoybuyindex.com/en","200","200","8","200","8","4","pass","known_property",""
